trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,13,-23.482000790282118,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-112.38617339474075,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,3,-101.92986128454945,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-54.93666862232071,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,11,-48.901730174413665,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-173.77011546371835,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-135.16258303192626,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,7,-51.28892342794192,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-73.02096258435049,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-130.6828295216611,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-4.157681347748301,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,1.1903450549584011,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,19,4.019855099320787,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-106.58364030787281,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-19.25798188233531,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-93.50206929394969,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,12,-44.95000841120459,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,2,13.832579026977921,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,6,-25.46124043816554,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,-32.03907051271207,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,0,-56.2076915894371,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-50.33548068667855,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,2,-11.52137967382596,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-19.423316014435528,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-92.07983798046718,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,12,19.018084849613683,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-34.32971359833453,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,4,-25.170784640838715,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-20.295753820855605,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,20,17.623711442401703,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
