trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.42616725838565,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999988750002109}",20,4,-91.80222742199159,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-39.392368202034845,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999898750170859}",30,0,-76.66950005509628,"{0: 20, 1: 5, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-112.19333165121861,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999718751318357}",25,0,-116.74152998432041,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-52.442343637957926,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.999944875506459}",25,0,-198.7039893303235,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9999280008639958}",25,0,-95.26105733232457,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999088763839525}",20,0,-121.39456643452803,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-132.61237228736306,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9998638780883079}",20,4,-23.040534758768267,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-183.29177691433517,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9998098810245096}",20,0,-38.63012660734203,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-196.60478194985984,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9997468856785308}",25,0,-167.01605593109042,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-46.85505094892008,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9996748926173291}",35,23,-13.249317574466062,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.9996355221428369}",25,0,-184.45490973448705,"{0: 13, 1: 2, 2: 5, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9995939024888416}",20,0,-68.30921816808919,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-235.33829487423264,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.9995039160219791}",20,1,-109.41577689204931,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.9994555494115813}",30,0,-159.81810258771128,"{0: 15, 1: 7, 2: 6, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.999404934026619}",20,0,-56.31732619702578,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,0,-97.2770391204138,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9992969573935987}",30,0,-173.22761586917963,"{0: 18, 1: 6, 2: 2, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-104.144822225794,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.999179987094707}",25,9,-93.19532986981872,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 2}",1
29,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-109.97917478032387,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.999054024182676}",20,0,-90.84655087345286,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9989876708478425}",30,0,-132.62602417401934,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9989190697911708}",25,0,-153.7401129201298,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9988482211670138}",25,0,-86.49387459200823,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9987751251347804}",20,0,-82.4625504756132,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9986997818589368}",30,0,-132.06869483112683,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9986221915090054}",25,0,-171.06397748721068,"{0: 12, 1: 2, 2: 6, 3: 4, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9985423542595644}",20,0,-144.1047167309342,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
