trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.69041454983008,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9999988750002109}",20,0,-101.36734074417345,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-39.22085704619752,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999898750170859}",25,0,-167.65896267723636,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.999982000054}",30,0,-191.7709935265091,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999718751318357}",25,0,-181.18620261888807,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-67.72563845159203,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.999944875506459}",20,0,-142.5836305081339,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999280008639958}",30,0,-73.31020135908636,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9999088763839525}",25,0,-207.36751904313567,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9998875021093592}",25,0,-105.9242844090575,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9998638780883079}",20,0,-122.27287750898381,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9998380043739528}",25,0,-72.74498920397026,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9998098810245096}",25,0,-57.60616352256357,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-67.87528943984425,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9997468856785308}",25,0,-144.55387548683055,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-98.79747724438013,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9996748926173291}",20,0,-122.23587478899103,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9996355221428369}",30,0,-117.42715158341142,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9995939024888416}",25,0,-53.466624809610835,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-138.200323409999,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-122.48786798653144,"{0: 18, 1: 2, 2: 6, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-82.73255305157193,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-116.53766740682784,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,1,-194.34934192061294,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 3}",1
6,True,"{'a': 0, 'e': 0}",20,0,-112.86675452521659,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-103.74373143747985,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-26.010553324369415,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-262.72592084500155,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-65.53803096330084,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
